Evaluation of a Population with size 30, on Track "Track5", using the following GA operators: 
Selection: DefaultSelectionOperator
Recombination: RandomRecombination
Mutation: MutateAllButBestTwo
FitnessCalculation: DefaultFitnessCalculation

1	0,5168672; 1	0,4561737; 1	0,1716128; 1	0,05363443; 1	0,04024434; 1	0,03957254; 1	0,03228978; 1	0,02082553; 1	0,02013192; 1	0,01816913; 1	0,01517541; 1	0,01237504; 1	0,01068374; 1	0,01059579; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 1	0; 
13	1; 13	1; 13	1; 13	1; 13	1; 13	1; 13	0,5742043; 13	0,5269191; 13	0,494678; 13	0,4927781; 13	0,4924978; 13	0,4561737; 13	0,4561737; 13	0,4561737; 13	0,4561737; 13	0,3238745; 13	0,2905033; 13	0,2905033; 13	0,1657632; 13	0,1506261; 13	0,09677771; 13	0,05913705; 13	0,01297486; 13	0,00611868; 13	0; 13	0; 13	0; 13	0; 13	0; 13	0; 
14	1; 14	1; 14	1; 14	0,5913447; 14	0,5804816; 14	0,5742043; 14	0,5742043; 14	0,5742043; 14	0,5742043; 14	0,5048279; 14	0,4894644; 14	0,4561737; 14	0,4561737; 14	0,4092542; 14	0,3991604; 14	0,3637193; 14	0,358842; 14	0,2905033; 14	0,1506261; 14	0,1506261; 14	0,1506261; 14	0,1506261; 14	0,07783888; 14	0,05796621; 14	0; 14	0; 14	0; 14	0; 14	0; 14	0; 
15	1; 15	1; 15	1; 15	0,5742043; 15	0,5006595; 15	0,4996573; 15	0,4918011; 15	0,4820312; 15	0,4561737; 15	0,4561737; 15	0,3908521; 15	0,3638565; 15	0,3344913; 15	0,3101451; 15	0,2905033; 15	0,19322; 15	0,1542603; 15	0,1531953; 15	0,1506261; 15	0,1506261; 15	0,08158024; 15	0,07360282; 15	0,03585066; 15	0; 15	0; 15	0; 15	0; 15	0; 15	0; 15	0; 
16	1; 16	1; 16	1; 16	1; 16	0,5742043; 16	0,5742043; 16	0,5742043; 16	0,5742043; 16	0,5180821; 16	0,4952847; 16	0,4637811; 16	0,4561737; 16	0,4561737; 16	0,4561737; 16	0,4561737; 16	0,4561737; 16	0,3557221; 16	0,3358697; 16	0,1506261; 16	0,07964096; 16	0,02428377; 16	0; 16	0; 16	0; 16	0; 16	0; 16	0; 16	0; 16	0; 16	0; 
17	1; 17	1; 17	1; 17	1; 17	1; 17	1; 17	1; 17	0,5779741; 17	0,5742043; 17	0,5742043; 17	0,5742043; 17	0,5238995; 17	0,5176015; 17	0,5126994; 17	0,4561737; 17	0,4561737; 17	0,4031392; 17	0,3689818; 17	0,3497666; 17	0,3459222; 17	0,3332859; 17	0,2905033; 17	0,1931215; 17	0,1807467; 17	0,1506261; 17	0,1506261; 17	0,04957319; 17	0; 17	0; 17	0; 
18	1; 18	1; 18	1; 18	1; 18	1; 18	1; 18	1; 18	0,615234; 18	0,5900917; 18	0,5742043; 18	0,5742043; 18	0,5742043; 18	0,5742043; 18	0,4896859; 18	0,3914903; 18	0,3882696; 18	0,3759886; 18	0,3654545; 18	0,3346188; 18	0,3265902; 18	0,2384046; 18	0,1971512; 18	0,1584333; 18	0,1031793; 18	0,06460627; 18	0,04228694; 18	0,02105108; 18	0; 18	0; 18	0; 
19	1; 19	1; 19	1; 19	1; 19	1; 19	1; 19	1; 19	1; 19	1; 19	0,5856006; 19	0,5834981; 19	0,5810626; 19	0,5770062; 19	0,5742043; 19	0,5742043; 19	0,5742043; 19	0,5742043; 19	0,5742043; 19	0,5742043; 19	0,5033834; 19	0,4061139; 19	0,4025581; 19	0,3987323; 19	0,397818; 19	0,3951926; 19	0,3282487; 19	0,2905033; 19	0,1964258; 19	0; 19	0; 
20	1; 20	1; 20	1; 20	1; 20	1; 20	1; 20	1; 20	1; 20	1; 20	1; 20	0,610572; 20	0,5907143; 20	0,5874649; 20	0,5869458; 20	0,5859666; 20	0,5836954; 20	0,5775946; 20	0,5742043; 20	0,5742043; 20	0,5742043; 20	0,5742043; 20	0,4067285; 20	0,3912087; 20	0,3885655; 20	0,3674855; 20	0,3490154; 20	0,1970333; 20	0,1506261; 20	0; 20	0; 
21	1; 21	1; 21	1; 21	1; 21	1; 21	1; 21	1; 21	1; 21	1; 21	1; 21	0,5927471; 21	0,5889137; 21	0,587997; 21	0,5777531; 21	0,5759414; 21	0,5742043; 21	0,5742043; 21	0,5742043; 21	0,5742043; 21	0,5742043; 21	0,4956878; 21	0,4777914; 21	0,4561737; 21	0,4089838; 21	0,3892081; 21	0,1715029; 21	0,1506261; 21	0,1506261; 21	0; 21	0; 
22	1; 22	1; 22	1; 22	1; 22	1; 22	1; 22	1; 22	1; 22	1; 22	1; 22	1; 22	1; 22	0,5924591; 22	0,5839239; 22	0,5786789; 22	0,5742043; 22	0,5742043; 22	0,5742043; 22	0,5742043; 22	0,5203377; 22	0,4903317; 22	0,4561737; 22	0,4024166; 22	0,3999858; 22	0,2390129; 22	0,2041135; 22	0,152635; 22	0; 22	0; 22	0; 
23	1; 23	1; 23	1; 23	1; 23	1; 23	1; 23	1; 23	1; 23	1; 23	0,6048924; 23	0,5965505; 23	0,5951659; 23	0,5891284; 23	0,5876071; 23	0,5742043; 23	0,5742043; 23	0,5742043; 23	0,5742043; 23	0,4980758; 23	0,4612261; 23	0,4561737; 23	0,3798589; 23	0,3484451; 23	0,334582; 23	0,2260521; 23	0,1506261; 23	0,1506261; 23	0,08763079; 23	0,01643587; 23	0; 
24	1; 24	1; 24	1; 24	1; 24	1; 24	1; 24	1; 24	1; 24	1; 24	0,5811394; 24	0,5193753; 24	0,50119; 24	0,4561737; 24	0,4561737; 24	0,38838; 24	0,3640398; 24	0,3308927; 24	0,3230146; 24	0,3131729; 24	0,2905033; 24	0,2905033; 24	0,2264864; 24	0,2134984; 24	0,1924679; 24	0,1800973; 24	0,1542255; 24	0; 24	0; 24	0; 24	0; 
25	1; 25	1; 25	1; 25	1; 25	1; 25	1; 25	1; 25	1; 25	1; 25	1; 25	1; 25	0,5742043; 25	0,5742043; 25	0,4989823; 25	0,4561737; 25	0,4064917; 25	0,3236946; 25	0,3085885; 25	0,2905033; 25	0,1993602; 25	0,1506261; 25	0,1007301; 25	0,0915235; 25	0,07459305; 25	0,06405231; 25	0,05851846; 25	0,01529904; 25	0,01357131; 25	0; 25	0; 
